Comments,Date,Disposition,Location,Occured,Reported,UCPDI,Outcome
Information regarding missing property possibly reported to CPD,Information,Closed,Woodlawn between 57th & 58th,2018-06-08,7/5/18 8:23 PM,18-00685,closed
Three keys taken from desktop in open area on the 3rd floor,Theft,Open,5757 S. University (Saieh Hall),2018-07-05,7/6/18 12:38 PM,18-00686,open
Secured bicycle taken from bike rack,Theft,Open,5836 S. Kenwood (Lab School Bike Rack),2018-07-06,7/6/18 3:34 PM,18-00687,open
"An individual walking on the sidewalk off campus was approached by two unknown suspects, one armed with a handgun / The suspects took the victim's book bag before fleeing to a waiting  gray, 4- door sedan / The victim reported no physical injuries / CPD case JB338190",Information,CPD,5400 S. Ridgewood Ct. (Public Way),2018-07-06,7/6/18 9:38 PM,18-00688,cpd
Information relating to slight damage to UC owned vehicle,Damage to Property,Closed,5400 S. Hyde Park (Public Way),2018-07-06,7/6/18 11:13 PM,18-00689,closed
"An individual walking on the sidewalk off campus was approached by two unknown suspects,�one armed with a handgun / The suspects took the victim�s handbag before fleeing eastbound on foot / The victim reported no physical injuries / CPD case JB338738",Information,CPD,5346 S. Cornell (Public Way),2018-07-06,7/6/18 10:36 PM,18-00690,cpd
"Bicyclist struck side of UC owned vehicle / Property damage only, no injuries reported / 2018-MVA00147",Information,Closed,5048 S. Cornell,2018-07-07,7/7/18 12:11 AM,18-00691,closed
Individual reported suspicious activity to UCPD officer,Information,Closed,850 E. 61st St. (UCPD HQ),2018-07-07,7/7/18 11:25 AM,18-00692,closed
An individual walking off campus was approached from behind by an unknown female suspect who struck the victim on the head with a handgun / The suspect grabbed the victim�s purse and fled to a waiting vehicle  / The victim suffered a laceration to the back of the head and was transported to the UCM ER by CFD EMS for treatment / CPD case JB339970,Information,CPD,1108 E. 54th St. (Public Way),2018-07-07,7/7/18 8:18 PM,18-00693,cpd
Retail employee informed UCPD officer that he suspected an individual had taken merchandise from the store without paying / Store management declined to pursue the matter,Information,Closed,1228 E. 53rd St.,2018-07-08,7/8/18 12:17 PM,18-00694,closed
"DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was sexually assaulted by an acquaintance / Due to confidentiality of reporting, limited information is available regarding this incident.",Assault,No Investigation Referred to Title IX Coordinator,5500 S. University (Campus North RH),2018-06-29,7/6/18 5:25 PM,CSA Report    18-030,referred
"DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was fondled by an acquaintance in the residence hall / Due to confidentiality of reporting, limited information is available regarding this incident",Assault,No Investigation Referred to Title IX Coordinator,5500 S. University (Campus North RH),NA,7/6/18 5:28 PM,CSA Report    18-031,referred
Sick person was transported to Comer ER by CFD EMS for evaluation and treatment,Medical,Closed,6031 S. Ellis (Granville-Grossman RH),2018-07-09,7/9/18 6:53 AM,18-00695,closed
Boyfriend slapped girlfriend / Arrested by UCPD officers,Battery,Arrest,5656 S. Maryland (UCM ER),2018-07-09,7/9/18 8:19 AM,18-00696,arrested
Individual left food court without paying for merchandise / Arrested by UCPD,Theft,Arrest,5758 S. Maryland (DCAM Food Court),2018-07-09,7/9/18 11:53 AM,18-00697,arrested
"Wallet taken from unattended, unsecured purse left on table in conference room",Theft,Open,969 E. 60th St. (SSA),2018-06-25,7/9/18 1:59 PM,18-00698,open
UCPD officer arrested a motorist for driving under the influence of alcohol,DUI,Arrest,950 E. 61st St.,2018-07-09,7/9/18 2:51 PM,18-00699,arrested
Report of damage to UC owned vehicle,Damage to Property,Closed,5601 S. Cottage Grove (UC Service Garage),2018-07-09,7/9/18 5:34 PM,18-00700,closed
"Unattended, unsecured laptop and a duffle bag containing leased camera and camera equipment left in unsecured room were taken by unknown person(s)",Theft,Open,915 E. 60th St. (Logan Center),2018-07-11,7/11/18 1:51 PM,18-00701,open
Handicap placard taken from parked vehicle,Theft,Open,5840 S. Maryland (Parking Structure),2018-07-11,7/11/18 4:48 PM,18-00702,open
"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,5500 S. University (Campus North RH),2018-07-11,7/11/18 11:09 PM,CSA Report   18-032,referred
Individual reports he was sexually assaulted during a scheduled appointment / CPD case,Information,CPD,5758 S. Maryland (DCAM),2018-04-30,7/12/18 4:24 PM,18-00703,cpd
Bicycle taken from apartment building basement storage area,Theft,Open,908 E. 61st St.(UC Residential Property),2018-06-30,7/12/18 9:54 PM,18-00704,open
UCPD officer arrested a motorist for DUI and other traffic violations,DUI,Arrest,1600 E. Midway Pl.,2018-07-12,7/12/18 9:30 PM,18-00705,arrested
"A UCM patient, leaving the hospital without authorization, pushed a UCPD officer / Officer declined prosecution",Battery,Ex Cleared,5657 S. Cottage Grove (Public Way),2018-07-13,7/13/18 6:06 AM,18-00706,cleared
Individual transported to ER for evaluation,Mental Health,Closed,5555 S. Woodlawn (Student Counseling Center),2018-07-13,7/13/18 10:44 AM,18-00707,closed
During the course of an argument an individual broke glass window in exterior metal door before fleeing,Damage to Property,Open,800 E. 55th St. (Friend Center),2018-07-13,7/13/18 6:32 PM,18-00708,open
An individual on the sidewalk off campus was approached by a suspect who struck the victim with his fist and took the victim's iPhone before fleeing on a bicycle / CPD case JB348701,Information,CPD,1703 E. 55th St. (Public Way),2018-07-13,7/13/18 10:11 PM,18-00709,cpd
Number generated in error,Void,Void,Void,NA,Void,18-00710,void
Individual walking on the sidewalk off campus was approached by a group of suspects riding bicycles / The suspects struck the victim with fists before fleeing on their bicycles / Victim declined medical attention on the scene / CPD case JB348711,Information,CPD,1700 E. 53rd St. (Public Way),2018-07-13,7/13/18 9:33 PM,18-00711,cpd
Sick person transported to ER for evaluation and treatment,Medical,Closed,5200 S. Dorchester (Public Way),2018-07-14,7/14/18 12:50 AM,18-00712,closed
Number generated in error,Void,Void,Void,NA,Void,18-00713,void
Unknown suspect entered victim's apartment in off campus building via an open window / Suspect fled when confronted by victim / Two laptops taken / CPD case JB350680,Information,CPD,Kimbark between 57th & 58th,2018-07-15,7/15/18 11:12 AM,18-00714,cpd
Sick person transported to ER by CFD EMS for evaluation and treatment,Medical,Closed,1230 E. Midway Pl. (Public Way),2018-07-15,7/15/18 6:38 PM,18-00715,closed
"Disorderly person being escorted from UCM property threw and struck a staff member with a sandwich, was arrested by UCPD for battery / Suspect later damaged property at 850 E. 61st St. (UCPD HQ) and was charged with criminal damage to property",Battery,Arrest,5759 S. Maryland,2018-07-15,7/15/18 11:17 PM,18-00716,arrested
"Unsecured, unattended tools taken from a cart in construction area",Theft,Open,1005 E. 60th St. (Burton-Judson RH),2018-07-16,7/16/18 11:52 AM,18-00717,open
Unknown subject distracted victim and took victim's iPhone from the table in caf�,Theft,Open,5751 S. Woodlawn (Plein Air Caf�),2018-07-16,7/16/18 2:32 PM,18-00718,open
Wallet taken from purse left unattended on a chair in the cafeteria / Subsequent unauthorized use of credit card reported,Theft,Open,950 E. 59th St. (Billings Hospital),2018-07-16,7/16/18 7:04 PM,18-00719,open
"Unknown suspect grabbed purse that was placed on the sidewalk next to the victim / Suspect ran, but dropped purse after being chased by victim",Theft,Open,5800 S. Dorchester (Public Way),2018-07-16,7/16/18 9:56 PM,18-00720,open
"Individual tripped on sidewalk near building entrance, striking her head on the ground / Victim transported to ER by CFD EMS for evaluation and treatment",Injury,Closed,1100 E. 57th St. (Regenstein Library),2018-07-17,7/17/18 8:30 AM,18-00721,closed
Patient reported loss of cash and a money order while in the hospital,Lost Property,Closed,5815 S. Maryland (Mitchell Hospital),2018-07-04,7/17/18 10:11 AM,18-00722,closed
Sick person transported to the ER by CFD EMS for evaluation and treatment,Medical,Closed,1100 E. 57th St. (Regenstein Library),2018-07-17,7/17/18 11:41 AM,18-00723,closed
Information regarding harassing email,Harassment,Closed,5701 S. Woodlawn (Neubauer Collegium),2018-07-17,7/17/18 1:34 PM,18-00724,closed
Subject ate food without paying / Arrested by UCPD,Theft,Arrest,5758 S. Maryland (DCAM Caf�),2018-07-17,7/17/18 2:52 PM,18-00725,arrested
First transit supervisor turned over a wallet found on a UC Shuttle bus / Inventoried at UCPD for safekeeping,Found Property,Closed,850 E. 61st St. (UCPD HQ),2018-07-18,7/18/18 2:03 PM,18-00726,closed
Staff member reported receiving harassing phone call from an unknown person,Harassment,Closed,5811 S. Ellis (Cobb Hall),2018-07-18,7/18/18 4:09 PM,18-00727,closed
Secured bicycle taken from bike rack,Theft,Open,6031 S. Ellis (Granville-Grossman RH Bike Rack),2018-07-18,7/19/1810:39 AM,18-00728,open
Individual transported to ER for evaluation,Mental Health,Closed,5555 S. Woodlawn (Student Counseling Services),2018-07-19,7/19/18 11:37 AM,18-00729,closed
Person reported an unknown subject took a stroller from the vestibule of an off campus private residence / Referred to CPD,Information,Referred,University between 61st & 62nd,2018-07-19,7/19/18 2:24 PM,18-00730,referred
Secured bicycle taken from bike rack,Theft,Open,920 E. 58th St. (Cummings Bike Rack),NA,7/19/18 4:19 PM,18-00731,open
Individual found Galaxy cell phone outside of the building / Turned over to UCPD for safekeeping,Found Property,Closed,1101 E. 57th St. (Zoology),2018-07-19,7/19/18 4:36 PM,18-00732,closed
Three unknown suspects forcibly took a cell phone and wallet from a victim walking on the sidewalk off campus / CPD case JB357187,Information,CPD,5140 S. Kimbark (Public Way),2018-07-20,7/20/18 1:41 AM,18-00733,cpd
An individual found a small plastic baggie containing white powder in an elevator / Turned over to UCPD for proper disposal,Found Property,Closed,1101 E. 56th St. (Max Palevsky RH),2018-07-20,7/20/18 11:37 AM,18-00734,closed
Secured bicycle taken from bike rack,Theft,Open,900 E. 57th St. (Knapp Bike Rack),2018-07-19,7/20/18 3:34 PM,18-00735,open
Resident of off campus apartment building slashed another resident with a knife without provocation / Suspect taken into custody by CPD / Victim treated by CFD EMS / CPD case JB358045,Information,CPD,Harper between 53rd & 54th,2018-07-20,7/20/18 4:39 PM,18-00736,cpd
CPD and UCPD officers responded to calls of shots fired off campus / Window in front door of private residence was shattered / No injuries reported / No suspects on the scene / CPD case JB 358686,Information,CPD,Drexel at 54th,2018-07-21,7/21/18 3:14 AM,18-00737,cpd
"UC owned vehicle involved in traffic crash / Property damage only, no injuries reported / 2018-MVA00161",Traffic Incident,Closed,5316 S. Harper,2018-07-21,7/21/18 10:23 PM,18-00738,closed
UCPD officers observed two suspects in the process of removing a stereo system from a vehicle parked on the street / Suspects also in possession of tools to commit the theft / Both suspects arrested and charged with burglary to a motor vehicle,Theft,Arrest,1424 E. 58th St. (Public Way),2018-07-22,7/22/18 2:40 AM,18-00739,arrested
Two unknown suspects forcibly took an iPhone from a person jogging on the street off campus / Suspects entered a waiting white sedan and drove off / CPD case JB361067,Information,CPD,930 E. 53rd St. (Public Way),2018-07-22,7/22/18 11:33 PM,18-00740,cpd
"UCPD officer on patrol was notified by in-car license plate reader of a parked, unoccupied vehicle previously reported stolen to CPD / Turned over to CPD / CPD case JB331375",Recovered Vehicle,CPD,6207 S. Ingleside (Alley),2018-07-22,7/22/18 10:53 PM,18-00741,cpd
"Unattended, unsecured wallet taken from desk top in work cubicle",Theft,Open,924 E. 57th St. (BSLC),2018-07-23,7/23/18 1:07 PM,18-00742,open
Two unknown suspects riding bicycles snatched cell phones from the hands of two people walking on the sidewalk,Theft,Open,5951 S. Woodlawn (Public Way),2018-07-23,7/23/18 3:39 PM,18-00743,open
Secured bicycle taken from bike rack Suspect arrested in possession of victim's bicycle on 8/1/18 Ref. 18-00782,Theft,Arrest,1100 E. 57th St. (Regenstein Bike Rack),2018-07-19,7/23/18 6:21 PM,18-00744,arrested
"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,"5733 S. University (Center for the Study on Race, Politics, and Culture)",2018-06-01,7/23/18 9:57 PM,CSA Report    18-034,referred
Unknown person(s) shattered window and took property from an unattended vehicle parked on the street,Theft,Open,830 E. 56th St.,2018-07-23,7/24/18 7:42 AM,18-00745,open
UCPD officer assisted CPD officer in detaining a motorist who was later arrested and charged by CPD for possession of a replica firearm,Assist Other Agency,CPD,5525 S. Cottage Grove (Public Way),2018-07-24,7/24/18 10:31 AM,18-00746,cpd
Number generated in error,Void,Void,Void,NA,Void,18-00747,void
"Suspect, soliciting donations, distracted victim and took his wallet from the table top",Theft,Open,5751 S. Woodlawn (Plein Air Caf�),2018-07-25,7/25/18 2:11 PM,18-00748,open
Secured bicycle taken from bike rack,Theft,Open,1100 E. 57th St. (Regenstein Bike Rack),2018-07-24,7/25/18 3:57 PM,18-00749,open
