Comments,Date,Disposition,Location,Occured,Reported,UCPDI
Debit card found on a UC Shuttle bus was turned over to UCPD for safekeeping,Found Property,Closed,850 E. 61st St. (UCPD HQ),4/4/18 8:11 AM,4/4/18 8:11 AM,18-00326
Staff member injured left arm while lifting equipment,Injured Person,Closed,850 E. 61st St. (UCPD HQ),4/4/18 8:00 AM,4/4/18 9:58 PM,18-00328
Unknown adult individual running westbound on the sidewalk struck a child with his shoulder walking in the opposite direction as they passed /,Battery,Open,1362 E. 59th St. (Public Way),4/5/18 3:40 PM,4/5/18 3:48 PM,18-00329
"During an argument, mother struck daughter in the face with her fist / Arrested by UCPD officers",Domestic Battery,Arrest,5730 S. Drexel (Comer Hospital),4/6/18 8:00 PM,4/6/18 8:07 PM,18-00330
Unknown person scrawled graffiti on wall of 1st floor lounge using chalk / Graffiti removed / No damage to property,Information,Closed,5706 S. University (Reynolds Club),4/6/18 to 4/7/18 8:00 PM to 8:00 AM,4/7/18 8:55 AM,18-00331
Small leaf/grass fire along railroad embank extinguished by CFD / No personal or property damage,Fire,Closed,1447 E. 60th St. (Metra Embankment),4/7/18 1:39 PM,4/7/18 1:39 PM,18-00332
"Unattended, unsecured cell phone placed on a table outside of Cobb Hall was taken by an unknown person",Theft,Open,5811 S. Ellis,4/7/18 1:30 PM to 2:15 PM,4/7/18 3:09 PM,18-00333
Off campus crash involving motor vehicle and bicyclist / Cyclist complained of possible head injury transported to ER by CFD EMS / CPD report JB215262,Information / Traffic Crash / Personal Injury,CPD,5100 S. Ellis,4/7/18 6:43 PM,4/7/18 6:43 PM,18-00334
Underage individual became ill after consuming alcoholic beverages transported to ER by CFD EMS for evaluation and treatment,Liquor Law Violation,Referred,1414 E. 59th St. (I-House),4/8/18 1:07 AM,4/8/18 1:07 AM,18-00335
UCPD officers detained an individual wanted for an aggravated battery by Rolling Meadows PD / Turned over to Rolling Meadows PD,Assist Other Agency,Referred,5530 S. Ellis (Ratner A.C.),4/8/18 9:16 AM,4/8/18 9:16 AM,18-00336
Small fire in electrical box on Park District property extinguished by CFD / No injuries reported / Park District notified,Information / Fire,Closed,1112 E. 60th St. (Park Property),4/8/18 9:53 PM,4/8/18 9:53 PM,18-00337
Three unknown suspects took an iPhone and bag with laptop computer from individual walking on the sidewalk off campus / UCPD officer located and detained two suspects / Property located and returned to victim / Suspects turned over to CPD and charged with robbery / CPD case JB216476,Information / Robbery,CPD,5118 S. Dorchester (Public Way),4/8/18 9:20 PM,4/8/18 9:27 PM,18-00338
Three unknown suspects took an iPhone from individual walking on the sidewalk off campus / UCPD officer located and detained two suspects  / Suspects turned over to CPD and charged with robbery / CPD case JB216482,Information / Robbery,CPD,5120 S. Dorchester (Public Way),4/8/18 9:22 PM,4/8/18 9:28 PM,18-00339
"A 12""x4"" Restrooms sign taken from 2nd floor wall",Theft,Open,5706 S. University (Reynolds Club),4/4/18 to 4/9/18 9:00 AM to 9:00 AM,4/9/18 9:02 AM,18-00340
Passenger's side mirror missing from UC owned vehicle,Damage to Property,Closed,850 E. 61st St. (UCPD HQ),4/4/18 to 4/5/18 6:00 PM to 7:15 AM,4/9/18 1:47 PM,18-00341
3 keys on a key ring were found on the sidewalk in front of Calvert House,Found Property,Closed,5735 S. University (Calvert House),4/9/18 1:00 PM,4/9/18 1:55 PM,18-00342
Report of a suspicious person in the Quad area,Information / Suspicious Person,Closed,5828 S. University (Quad),4/10/18 12:00 PM,4/10/18 12:35 PM,18-00343
Unattended vehicle reported stolen in KY. found on 2nd floor of parking structure,Recovered Motor Vehicle,Closed,5826 S. Maryland (Parking Structure),4/10/18 2:42 PM,4/10/18 2:42 PM,18-00344
UCPD officer assisted with traffic control at the scene of an off campus private apartment building fire / CPD case JB218862,Information / Fire,CPD,826 E. 53rd St.,4/10/18 7:24 PM,4/10/18 7:24 PM,18-00345
"DSS was notified by a Campus Security Authority that an undisclosed victim reported that he was sexually assaulted by an acquaintance / Due to confidentiality of reporting, limited information is available regarding this incident.",Criminal Sexual Assault,No Investigation Referred to Title IX Coordinator,6031 S. Ellis (Granville-Grossman RH),11/1/17 Unknown time,4/11/18 11:13 AM,CSA Report    18-023
"Unattended, unsecured leather bag left in 4th floor hallway taken by unknown person",Theft,Open,1116 E. 59th St. (Harper),4/11/18 11:00 AM to 1:00 PM,4/11/18 1:28 PM,18-00346
Unknown suspect grabbed iPhone from victim's hand as they were exiting a CTA bus off campus / Suspect fled on foot to a waiting vehicle / CPD case,Information / Theft from Person,CPD,1660 E. 55th St. (CTA Bus),4/11/18 2:00 PM,4/11/18 2:02 PM,18-00347
"Individual, making tea, spilled hot water on her left arm / Transported to ER by CFD EMS",Injured Person,Closed,1116 E. 59th St. (Harper Library),4/12/18 1:35 PM,4/12/18 1:46 PM,18-00348
Report of a text threat made to a contract employee by another contract employee / Previously reported to CPD / CPD case JB169687,Information,CPD,5801 S. Ellis,2/28/18 9:30 PM,4/12/18 3:39 PM,18-00349
Delivery truck struck and damaged loading dock door / No injuries reported / 2018 MVA00064,Traffic Crash,Closed,5215 S. Harper (Loading Dock),4/12/18 4:28 PM,4/12/18 4:28 PM,18-00350
Unknown suspect snatched cell phone from the hand of a person walking on the sidewalk off campus / Suspect fled to a waiting vehicle / CPD case JB221361,Information / Theft from Person,CPD,1160 E. 55th St. (Public Way),4/12/18 2:50 PM,4/12/18 5:01 PM,18-00351
Individual reports losing laptop while in the building,Lost Property,Closed,1212 E. 59th St. (Ida Noyes),4/11/18 9:30 PM to 11:45 PM,4/12/18 10:16 PM,18-00352
"Two unknown suspects, one armed with a handgun, took an iPhone and cash from a victim walking on the sidewalk off campus / CPD case",Information / Armed Robbery,CPD,6207 S. University,4/13/18 6:50 AM,4/13/18 7:11 AM,18-00353
Unknown person took a safe box containing cash from a secured desk in an office,Burglary,Open,5837 S. Maryland (Lying-In Hospital),4/10/18 10:00 AM to 11:00 AM,4/13/18 9:05 AM,18-00354
"Unattended, unsecured laptop taken from classroom",Theft,Open,1126 E. 59th St. (Social Science Research),4/12/18 to 4/13/18  6:20 PM to 12:30 PM,4/13/18 2:00 PM,18-00355
Damage reported to top of hood and grill of a parked vehicle / Cause unknown at this time,Damage to Property,Closed,1111 E. 60th St. (Law School Parking Lot),4/13/18 7:30 AM to 4:30 PM,4/13/18 2:56 PM,18-00356
"During an argument, one individual kicked another / Suspect fled before police arrived",Battery,Open,5700 S. Maryland (CCD),4/14/18 10:25 AM,4/14/18 10:35 AM,18-00357
UCPD officers assisted CPD locating suspect who ran from a stolen motor vehicle / CPD arrest / JB224350,Assist Other Agency,CPD,5515 S. Everett,4/14/18 11:12 PM,4/14/18 11:12 PM,18-00358
Number generated in error,Void,Void,Void,Void,Void,18-00359
Individual lost cell phone possibly in Uber cab or between sidewalk and apartment,Lost Property,Closed,Blackstone between 51st & 52nd,4/15/18 12:30 AM to 1:00 AM,4/15/18 3:27 PM,18-00360
Subject left store off campus with 2 bottles of alcohol without paying / Detained by store security and arrested by UCPD,Theft,Arrest,1346 E. 53rd St. (Target),4/15/18 3:15 PM,4/15/18 3:17 PM,18-00361
Individual transported to the ER for evaluation and treatment,Mental Health Transport,Closed,800 E. 55th St. (Friend Center),4/16/18 11:26 AM,4/16/18 11:26 AM,18-00362
Caregiver reported individual suffering from dementia was missing,Missing Person,Closed,Dorchester between 57th & 58th,4/16/18 1:30 PM,4/16/18 2:40 PM,18-00363
Boyfriend struck girlfriend in the face with his fist / Arrested by UCPD,Domestic Battery,Arrest,5730 S. Drexel (Comer Hospital),4/16/18 9:38 PM,4/16/18 9:38 PM,18-00364
Subject took merchandise from the off campus retail establishment without paying / UCPD officer detained suspect / Management declined prosecution,Theft,Ex. Cleared,1346 E. 53rd St. (Target),4/17/18 10:30 AM,4/17/18 10:30 AM,18-00365
Number generated in error,Void,Void,Void,Void,Void,18-00366
Individual transported to ER for evaluation and treatment,Mental Health Transport,Closed,5555 S. Woodlawn (Student Counseling Services),4/17/18 4:34 PM,4/17/18 4:34 PM,18-00367
"Two unknown suspects, one of whom implied a weapon, no weapon seen, took a cell phone and wallet from an individual walking on the sidewalk off campus / CPD case JB228021",Information / Aggravated Robbery,CPD,5412 S. Kimbark (Public Way),4/17/18 11:45 PM,4/17/18 11:50 PM,18-00368
"DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was sexually assaulted by an acquaintance / Due to confidentiality of reporting, limited information is available regarding this incident.",Criminal Sexual Assault,No Investigation Referred to Title IX Coordinator,1005 E. 60th St. (Burton-Judson RH),January 2018 - Date and time unknown,4/18/18 9:34 AM,CSA Report    18-024
Individual reports losing an Amazon Kindle while in the library,Lost Property,Closed,1100 E. 57th St. (Regenstein),4/7/18 10:00 AM to 6:00 PM,4/18/18 3:41 PM,18-00369
Bicycle secured to bike rack taken by unknown person,Theft,Open,5812 S. Ellis (Brain Research Bike Rack),4/18/19 to 4/19/19 7:00 AM to 10:00 AM,4/19/18 10:23 AM,18-00370
Victim walking on the sidewalk off campus was approached by three suspects who struck him on the hand with a metal pipe / Suspects took cash and a bag from the victim before fleeing eastbound / CPD case JB229543,Information / Armed Robbery,CPD,1126 E. 47th St. (Public Way),4/19/18 9:50 AM,4/19/18 10:02 AM,18-00371
UCPD officer detained suspect who had taken two cases of beer from the store without paying / Management declined to prosecute,Theft,Ex. Cleared,1554 E. 55th St. (Walgreens),4/19/18 1:00 PM,4/19/18 1:13 PM,18-00372
Individual found a debit card and turned it over to UCPD for safekeeping,Found Property,Closed,1116 E. 59th St. (Harper Library),4/19/18 1:36 PM,4/19/18 1:36 PM,18-00373
"Subsequent to stopping a motorist for a traffic violation, UCPD officer arrested the motorist who was wanted for violation of an order of protection",Warrant Arrest,Arrest,1000 E. 53rd St.,4/19/18 4:40 PM,4/19/18 4:40 PM,18-00374
"Individual exited taxi without paying fare / Suspect entered building to get money, but never returned / Subsequent to investigation, the suspect paid fare, driver declined to prosecute",Deceptive Practice / Theft of Service,Ex. Cleared,Hyde Park between Woodlawn & Kimbark,4/19/18 11:10 PM,4/19/18 11:12 PM,18-00375
Unknown individual used another person's identification to be admitted to the hospital / Suspect departed when questioned,Information,Closed,5815 S. Maryland (Mitchell Hospital),4/18/18 8:50 AM,4/20/18 9:32 AM,18-00376
"UCPD officers approached an occupied vehicle that had been reported stolen to Chicago police / Driver of the stolen vehicle drove over a curb and without regard for the safety of pedestrians, drove over the grassy area of the park and fled on the opposite roadway",Reckless Conduct,Open,1363 E. Midway Pl.,4/17/18 4:50 PM,4/20/18 1:18 PM,18-00377
Suspect took 6 bottles of alcoholic beverages from a retail establishment without paying / UCPD officers located and arrested the suspect,Theft,Arrest,1526 E. 55th St.,4/20/18 6:10 PM,4/20/18 6:21 PM,18-00378
Individual fell to the floor during athletic event complained of injury / Transported to ER by CFD EMS for evaluation and treatment,Injured Person,Closed,5550 S. University (Crown Field House),4/20/18 9:30 PM,4/20/18 9:40 PM,18-00379
Backpack was reported lost but was later found nearby,Lost / Found Property,Closed,5801 S. Dorchester (Public Way),4/20/18 11:45 PM,4/20/18 11:55 PM,18-00380
Sick person transported to ER by CFD EMS,Medical Call,Closed,5500 S. University (Campus North RH),4/21/18 2:06 AM,4/21/18 2:06 AM,18-00381
Glass panel in Ex Libris café fell to the floor and shattered / Cause unknown at this time,Damage to Property,Closed,1100 E. 57th St. (Regenstein Library),4/21/18 8:15 PM,4/21/18 8:27 PM,18-00382
Victim and unknown suspect met online and agreed to meet outside of Comer Hospital and buy a cell phone / Suspect used counterfeit currency to purchase phone before fleeing in a waiting vehicle,Deceptive Practice / Counterfeit Documents,Open,5730 S. Drexel,4/21/18 11:20 PM,4/21/18 11:27 PM,18-00383
"CPD and UCPD officers responded to calls of shots fired off campus and found a parked, unoccupied vehicle was damaged / No injuries reported / CPD case JB233155",Information,CPD,4716 S. Ellis (Public Way),4/22/18 3:19 AM,4/22/18 3:19 AM,18-00384
Two parking gate barrier arms at the south entrance/exit  of the parking structure were broken / Cause unknown at this time,Damage to Property,Closed,6054 S. Drexel (Parking Structure),4/22/18 7:05 PM,4/22/18 7:05 PM,18-00386
Number generated in error,Void,Void,Void,Void,Void,18-00385
"UCPD officer arrested a subject wanted on an outstanding warrant from McLean County, IL",Warrant Arrest,Arrest,6100 S. Cottage Grove (Public Way),4/23/18 10:18 AM,4/23/18 10:18 AM,18-00387
Victim was bitten on the leg by a dog while walking in the hallway of an off campus private apartment building / CPD case,Information / Dog Bite,CPD,Everett between 55th & 56th,4/23/18 8:10 PM,4/23/18 8:50 PM,18-00388
Individual transported to St. Bernard Hospital for evaluation and treatment,Mental Health Transport,Closed,860 E. 59th St. (Goldblatt Pavilion),4/23/18 7:55 PM,4/23/18 7:55 PM,18-00389
"Suspect was seen removing two valve caps from tires of a parked, unoccupied vehicle / Owner declined to prosecute",Theft,Ex. Cleared,1008 E. 59th St. (Public Way),4/24/18 7:10 AM,4/24/18 7:46 AM,18-00390
"Two Dell computer monitors taken from unattended, unsecured mail room / Follow up investigation revealed there was a clerical error and no computer monitors are missing",Theft,Unfounded,1427 E. 60th St. (Press Building),4/23/18 3:20 PM to 4:00 PM,4/24/18 9:23 AM,18-00391
Individual transported to ER for evaluation and treatment,Mental Health Transport,Closed,5801 S. Cottage Grove (Public Way),4/24/18 5:22 PM,4/24/18 5:22 PM,18-00392
Secured bicycle taken from bike rack,Theft,Open,929 E. 57th St. (Gordon Center Bike Rack),4/24/18 9:00 AM to 8:00 PM,4/24/18 8:17 PM,18-00393
"Three unknown suspects, one armed with a handgun, took iPhone from victim walking on the sidewalk off campus / CPD case JB236801",Information / Armed Robbery,CPD,6141 S. University (Public Way),4/24/18 10:15 PM,4/24/18 10:18 PM,18-00394
Individual reports losing laptop computer,Lost Property,Closed,6031 S. Ellis to 57th & University,4/24/18 8:00 AM to 9:30 PM,4/24/18 11:12 PM,18-00395
Individual reports losing iPhone in Swift Hall,Lost Property,Closed,1025 E. 58th St. (Swift Hall),4/25/18 10:45 AM to 11:10 AM,4/25/18 4:41 PM,18-00396
Unknown person(s) gained unlawful entry to off campus private apartment and took electronics / CPD case JB237794,Information / Burglary,CPD,Drexel between 53rd & 54th,4/25/18 10:10 AM to 5:00 PM,4/25/18 5:01 PM,18-00397
"Report of graffiti on wall in 1st floor restroom / Writing removed, no damage to property resulted",Information,Closed,5640 S. University (Bartlett Commons),4/26/18 10:32 AM,4/26/18 10:32 AM,18-00398
